sample_id,ASV001,ASV002,ASV003,ASV004,ASV005,ASV006,ASV007,ASV008,ASV009,ASV010,ASV011,ASV012,ASV013,ASV014,ASV015
H01,1523,892,445,2341,156,78,0,234,567,89,1234,456,0,123,789
H02,1876,1023,512,1987,203,92,12,198,623,102,1456,521,15,145,834
H03,1654,945,478,2156,178,85,5,212,589,95,1345,489,8,134,812
H04,1789,998,501,2089,189,88,8,225,601,98,1398,502,11,139,823
H05,1602,912,456,2234,167,81,3,207,578,91,1289,467,5,128,798
H06,1734,967,489,2123,181,86,7,219,595,96,1367,495,9,136,817
CD01,234,156,1876,345,1234,567,456,45,123,789,234,1567,234,567,123
CD02,198,134,2012,312,1345,612,489,38,112,823,201,1678,256,589,134
CD03,212,145,1945,328,1289,589,467,42,118,801,218,1623,245,578,128
CD04,225,151,1989,335,1312,598,478,44,121,812,225,1645,251,585,131
CD05,189,128,1923,305,1267,578,456,36,109,789,195,1601,239,567,125
CD06,207,138,1967,320,1298,587,468,40,115,798,210,1620,247,575,129
UC01,567,345,1234,678,567,234,123,234,567,345,567,890,567,234,456
UC02,589,356,1267,701,589,245,134,245,589,356,589,912,589,245,467
UC03,578,350,1251,689,578,239,128,239,578,350,578,901,578,239,461
UC04,601,362,1278,712,601,251,140,251,601,362,601,923,601,251,478
UC05,556,339,1223,667,556,228,117,228,556,339,556,878,556,228,450
UC06,590,357,1268,702,590,246,135,246,590,357,590,913,590,246,468
