sample_id,treatment,timepoint,batch,subject
S001,control,0h,batch1,subj_01
S002,control,0h,batch1,subj_02
S003,control,0h,batch1,subj_03
S004,treatment,0h,batch1,subj_04
S005,treatment,0h,batch1,subj_05
S006,treatment,0h,batch1,subj_06
S007,control,24h,batch2,subj_01
S008,control,24h,batch2,subj_02
S009,control,24h,batch2,subj_03
S010,treatment,24h,batch2,subj_04
S011,treatment,24h,batch2,subj_05
S012,treatment,24h,batch2,subj_06
S013,control,48h,batch2,subj_01
S014,control,48h,batch2,subj_02
S015,control,48h,batch2,subj_03
S016,treatment,48h,batch2,subj_04
S017,treatment,48h,batch2,subj_05
S018,treatment,48h,batch2,subj_06
